sku_id,sku_name,brand,manufacturer,category_level_1,category_level_2,category_level_3,sku_description,size_variant,unit_measure,mrp,selling_price,price_band,availability_status,rating,review_count,launch_date,discount_percent,ad_visibility_flag,high_intent_flag,avg_weekly_sales_units,avg_weekly_revenue,inventory_turnover_days,supplier_region,last_updated
SKU000010,Hershey's Utensils 500g,Hershey's,Hershey's Pvt Ltd,Home & Cleaning,Utensils,Utensils,Hershey's Utensils product - high quality and customer favorite.,Pack of 12,L,320.2,305.68,Medium,In Stock,4.2,361,2024-02-26,4.53,True,True,4404,28841.02,16.1,Telangana,2025-11-08
SKU000011,Hershey's Fresheners 1kg,Hershey's,Hershey's Pvt Ltd,Home & Cleaning,Fresheners,Fresheners,Hershey's Fresheners product - high quality and customer favorite.,Pack of 6,ml,982.5,969.97,Medium,Seasonal,3.6,2735,2023-11-13,1.28,False,False,2672,42249.24,15.16,Maharashtra,2025-11-08
SKU000012,Zepto Vitamins 500g,Zepto,Zepto Pvt Ltd,Medical & Wellness,Vitamins,Vitamins,Zepto Vitamins product - high quality and customer favorite.,1kg,ml,448.23,390.32,Medium,Out of Stock,3.1,714,2023-01-03,12.92,False,True,3797,14588.87,8.02,Tamil Nadu,2025-11-08
SKU000013,Pampers Staples 1kg,Pampers,Pampers Pvt Ltd,Grocery & Essentials,Staples,Staples,Pampers Staples product - high quality and customer favorite.,1kg,Pack,275.88,254.14,High,In Stock,3.5,3918,2023-05-26,7.88,True,True,2621,62783.69,27.86,Tamil Nadu,2025-11-08
SKU000014,Nivea Utensils 1L,Nivea,Nivea Pvt Ltd,Home & Cleaning,Utensils,Utensils,Nivea Utensils product - high quality and customer favorite.,200ml,g,1193.54,1132.76,Low,Out of Stock,3.5,858,2023-08-11,5.09,False,False,3168,58645.16,25.35,Tamil Nadu,2025-11-08
SKU000015,Nivea T-shirts Pack of 12,Nivea,Nivea Pvt Ltd,Fashion & Merchandise,T-shirts,T-shirts,Nivea T-shirts product - high quality and customer favorite.,Pack of 6,g,1481.1,1280.36,Medium,Out of Stock,4.5,2697,2024-02-10,13.55,False,False,1403,69494.93,7.21,Tamil Nadu,2025-11-08
SKU000016,Maggi First Aid 500g,Maggi,Maggi Pvt Ltd,Medical & Wellness,First Aid,First Aid,Maggi First Aid product - high quality and customer favorite.,1kg,Pack,764.16,739.3,Medium,In Stock,3.2,3822,2024-06-30,3.25,False,False,4570,69017.11,7.47,West Bengal,2025-11-08
SKU000017,Pampers Cat Food 1L,Pampers,Pampers Pvt Ltd,Pet Care,Cat Food,Cat Food,Pampers Cat Food product - high quality and customer favorite.,1kg,ml,1180.04,1172.57,Low,Seasonal,4.4,152,2023-09-05,0.63,True,True,1181,60306.62,16.75,Maharashtra,2025-11-08
SKU000018,Godrej Socks 500ml,Godrej,Godrej Pvt Ltd,Fashion & Merchandise,Socks,Socks,Godrej Socks product - high quality and customer favorite.,200ml,ml,406.51,396.27,Medium,Seasonal,4.9,2017,2023-03-28,2.52,False,False,4983,38661.29,15.77,Telangana,2025-11-08
SKU000019,Nestle Cleaners 250g,Nestle,Nestle Pvt Ltd,Home & Cleaning,Cleaners,Cleaners,Nestle Cleaners product - high quality and customer favorite.,1L,Pack,1071.54,1013.72,High,Seasonal,3.6,4243,2024-07-03,5.4,True,True,2901,28024.51,5.08,Karnataka,2025-11-08
SKU000020,Himalaya Vitamins Pack of 12,Himalaya,Himalaya Pvt Ltd,Medical & Wellness,Vitamins,Vitamins,Himalaya Vitamins product - high quality and customer favorite.,250g,ml,1014.75,910.41,Low,In Stock,3.4,1727,2024-01-12,10.28,True,True,1888,25908.42,19.3,Tamil Nadu,2025-11-08
SKU000021,Dove Socks Pack of 6,Dove,Dove Pvt Ltd,Fashion & Merchandise,Socks,Socks,Dove Socks product - high quality and customer favorite.,1kg,ml,1171.21,961.75,Medium,Out of Stock,4.7,510,2023-12-14,17.88,False,True,585,99021.08,25.48,Telangana,2025-11-08
SKU000022,Pampers Gifting 250g,Pampers,Pampers Pvt Ltd,Seasonal & Festive,Gifting,Gifting,Pampers Gifting product - high quality and customer favorite.,1kg,ml,336.71,314.05,Low,In Stock,3.6,1256,2023-12-11,6.73,False,False,3875,65324.65,22.72,Gujarat,2025-11-08
SKU000023,Hershey's Vitamins 1kg,Hershey's,Hershey's Pvt Ltd,Medical & Wellness,Vitamins,Vitamins,Hershey's Vitamins product - high quality and customer favorite.,250g,L,1461.44,1217.77,High,In Stock,3.2,3796,2024-02-17,16.67,True,True,3678,82108.84,5.66,Maharashtra,2025-11-08
SKU000024,Dove Cleaners Pack of 6,Dove,Dove Pvt Ltd,Home & Cleaning,Cleaners,Cleaners,Dove Cleaners product - high quality and customer favorite.,1kg,L,1157.62,988.56,Low,Out of Stock,4.4,3128,2023-12-08,14.6,True,True,2671,34965.96,23.06,Delhi,2025-11-08
SKU000025,Coca-Cola Supplements 250g,Coca-Cola,Coca-Cola Pvt Ltd,Medical & Wellness,Supplements,Supplements,Coca-Cola Supplements product - high quality and customer favorite.,500g,L,832.43,808.95,High,Out of Stock,3.5,369,2024-04-12,2.82,False,True,3944,98983.53,13.42,West Bengal,2025-11-08
SKU000026,Godrej Diapers 100g,Godrej,Godrej Pvt Ltd,Baby Care,Diapers,Diapers,Godrej Diapers product - high quality and customer favorite.,200ml,L,1037.23,923.43,High,Out of Stock,3.3,1751,2023-10-08,10.97,False,True,4795,92141.49,29.5,Gujarat,2025-11-08
SKU000027,Hershey's Storage 100g,Hershey's,Hershey's Pvt Ltd,Home & Cleaning,Storage,Storage,Hershey's Storage product - high quality and customer favorite.,1L,Pack,749.46,682.87,Low,In Stock,3.5,4804,2023-07-13,8.89,False,True,3803,94605.12,14.96,Telangana,2025-11-08
SKU000028,Maggi Hygiene 250g,Maggi,Maggi Pvt Ltd,Baby Care,Hygiene,Hygiene,Maggi Hygiene product - high quality and customer favorite.,250g,L,521.91,454.87,High,Out of Stock,3.4,2880,2023-11-10,12.85,True,True,2956,76728.9,22.13,West Bengal,2025-11-08
SKU000029,Patanjali Food 1L,Patanjali,Patanjali Pvt Ltd,Baby Care,Food,Food,Patanjali Food product - high quality and customer favorite.,1kg,g,1332.24,1132.25,High,In Stock,4.6,1128,2023-12-02,15.01,True,False,3281,10580.32,6.98,Rajasthan,2025-11-08
SKU000030,Whiskas Cleaners 250g,Whiskas,Whiskas Pvt Ltd,Home & Cleaning,Cleaners,Cleaners,Whiskas Cleaners product - high quality and customer favorite.,Pack of 6,g,1292.23,1260.78,Medium,Out of Stock,3.3,4214,2024-02-23,2.43,True,False,1156,8185.92,16.3,Gujarat,2025-11-08
SKU000031,Dettol Diapers 100g,Dettol,Dettol Pvt Ltd,Baby Care,Diapers,Diapers,Dettol Diapers product - high quality and customer favorite.,Pack of 12,ml,793.19,766.78,High,Seasonal,4.7,745,2024-05-13,3.33,True,True,4864,64985.17,29.53,West Bengal,2025-11-08
SKU000032,Zepto Bath 200ml,Zepto,Zepto Pvt Ltd,Beauty & Personal Care,Bath,Bath,Zepto Bath product - high quality and customer favorite.,1kg,ml,664.75,653.11,Low,Out of Stock,3.1,2669,2024-04-26,1.75,True,False,449,75667.17,29.41,Tamil Nadu,2025-11-08
SKU000033,Dove Supplements 250g,Dove,Dove Pvt Ltd,Medical & Wellness,Supplements,Supplements,Dove Supplements product - high quality and customer favorite.,250g,Pack,1488.57,1280.49,Medium,Out of Stock,4.0,4129,2023-04-11,13.98,False,False,68,73179.4,4.1,Maharashtra,2025-11-08
SKU000034,Surf Excel Makeup 200ml,Surf Excel,Surf Excel Pvt Ltd,Beauty & Personal Care,Makeup,Makeup,Surf Excel Makeup product - high quality and customer favorite.,1kg,Pack,1127.51,918.93,High,Out of Stock,3.3,3673,2024-02-09,18.5,True,False,83,11279.15,15.74,Telangana,2025-11-08
SKU000035,Pampers Storage 250g,Pampers,Pampers Pvt Ltd,Home & Cleaning,Storage,Storage,Pampers Storage product - high quality and customer favorite.,1L,g,1376.8,1277.7,Low,Out of Stock,4.4,362,2023-06-04,7.2,True,False,2707,31112.4,5.47,Gujarat,2025-11-08
SKU000036,Himalaya Gifting 250g,Himalaya,Himalaya Pvt Ltd,Seasonal & Festive,Gifting,Gifting,Himalaya Gifting product - high quality and customer favorite.,100g,ml,1042.09,959.74,Medium,Seasonal,4.1,2459,2023-01-04,7.9,True,True,98,76629.51,12.72,Telangana,2025-11-08
SKU000037,Godrej Hygiene 100g,Godrej,Godrej Pvt Ltd,Baby Care,Hygiene,Hygiene,Godrej Hygiene product - high quality and customer favorite.,200ml,g,330.11,291.46,Medium,Out of Stock,4.5,2345,2024-02-05,11.71,True,True,802,46144.21,3.84,Tamil Nadu,2025-11-08
SKU000038,Colgate Cat Food 1L,Colgate,Colgate Pvt Ltd,Pet Care,Cat Food,Cat Food,Colgate Cat Food product - high quality and customer favorite.,250g,L,1354.48,1199.88,High,Out of Stock,3.5,4243,2023-08-27,11.41,True,True,4164,62115.44,22.22,Telangana,2025-11-08
SKU000039,Tata Home Decor 250g,Tata,Tata Pvt Ltd,Seasonal & Festive,Home Decor,Home Decor,Tata Home Decor product - high quality and customer favorite.,1kg,ml,1298.99,1297.39,Medium,Out of Stock,3.3,1407,2023-02-28,0.12,True,False,4072,87664.3,8.97,Rajasthan,2025-11-08
SKU000040,Nivea Utensils 500ml,Nivea,Nivea Pvt Ltd,Home & Cleaning,Utensils,Utensils,Nivea Utensils product - high quality and customer favorite.,500g,Pack,1042.12,967.14,Medium,Seasonal,3.1,3493,2023-05-10,7.19,False,False,4112,27126.26,5.03,Tamil Nadu,2025-11-08
SKU000041,Pedigree Snacks 250g,Pedigree,Pedigree Pvt Ltd,Grocery & Essentials,Snacks,Snacks,Pedigree Snacks product - high quality and customer favorite.,200ml,ml,1251.11,1105.08,Low,In Stock,4.4,4879,2023-06-03,11.67,False,False,137,46871.14,8.72,West Bengal,2025-11-08
SKU000042,Maggi Vitamins Pack of 12,Maggi,Maggi Pvt Ltd,Medical & Wellness,Vitamins,Vitamins,Maggi Vitamins product - high quality and customer favorite.,500ml,Pack,125.25,114.49,Medium,Out of Stock,4.5,4184,2023-07-19,8.59,True,True,1872,48218.8,3.48,Telangana,2025-11-08
SKU000043,Patanjali First Aid Pack of 12,Patanjali,Patanjali Pvt Ltd,Medical & Wellness,First Aid,First Aid,Patanjali First Aid product - high quality and customer favorite.,250g,ml,650.45,609.68,Low,Out of Stock,3.3,2106,2024-01-14,6.27,False,True,3012,41319.21,17.03,Telangana,2025-11-08
SKU000044,Colgate Dog Food Pack of 6,Colgate,Colgate Pvt Ltd,Pet Care,Dog Food,Dog Food,Colgate Dog Food product - high quality and customer favorite.,Pack of 6,ml,267.52,247.53,Medium,Seasonal,4.4,1469,2024-06-11,7.47,True,True,48,11976.98,24.16,Karnataka,2025-11-08
SKU000045,Dettol Makeup 500g,Dettol,Dettol Pvt Ltd,Beauty & Personal Care,Makeup,Makeup,Dettol Makeup product - high quality and customer favorite.,Pack of 6,ml,333.79,292.88,High,Seasonal,4.0,1783,2024-08-17,12.26,False,True,3878,71148.63,3.1,Delhi,2025-11-08
SKU000046,Hershey's Makeup 500ml,Hershey's,Hershey's Pvt Ltd,Beauty & Personal Care,Makeup,Makeup,Hershey's Makeup product - high quality and customer favorite.,Pack of 6,g,1011.05,812.69,Low,Out of Stock,4.0,4101,2024-08-21,19.62,False,False,1553,47903.9,23.98,West Bengal,2025-11-08
SKU000047,Whiskas Dairy 1L,Whiskas,Whiskas Pvt Ltd,Grocery & Essentials,Dairy,Dairy,Whiskas Dairy product - high quality and customer favorite.,1kg,g,159.45,147.52,High,Out of Stock,4.7,3887,2024-07-10,7.48,False,False,462,46086.69,25.53,Karnataka,2025-11-08
SKU000048,Patanjali Haircare 100g,Patanjali,Patanjali Pvt Ltd,Beauty & Personal Care,Haircare,Haircare,Patanjali Haircare product - high quality and customer favorite.,100g,g,1196.19,1135.1,Low,Out of Stock,3.3,4977,2023-04-06,5.11,False,False,3808,58523.58,21.03,Delhi,2025-11-08
SKU000049,Patanjali Gifting 200ml,Patanjali,Patanjali Pvt Ltd,Seasonal & Festive,Gifting,Gifting,Patanjali Gifting product - high quality and customer favorite.,100g,ml,823.31,815.8,High,In Stock,3.8,4652,2023-02-13,0.91,True,False,4534,46866.93,16.13,Gujarat,2025-11-08
SKU000050,Himalaya Snacks 1L,Himalaya,Himalaya Pvt Ltd,Grocery & Essentials,Snacks,Snacks,Himalaya Snacks product - high quality and customer favorite.,500g,ml,700.21,657.83,High,Out of Stock,4.2,3033,2023-12-11,6.05,True,True,2735,59037.4,4.23,Gujarat,2025-11-08
SKU000051,Maggi Vitamins 1kg,Maggi,Maggi Pvt Ltd,Medical & Wellness,Vitamins,Vitamins,Maggi Vitamins product - high quality and customer favorite.,Pack of 12,Pack,746.68,618.53,Low,Seasonal,4.7,730,2023-09-01,17.16,False,False,3153,44252.29,25.26,Tamil Nadu,2025-11-08
SKU000052,Himalaya First Aid 250g,Himalaya,Himalaya Pvt Ltd,Medical & Wellness,First Aid,First Aid,Himalaya First Aid product - high quality and customer favorite.,Pack of 12,ml,809.7,674.86,High,In Stock,4.9,3436,2023-04-11,16.65,False,True,1377,11002.33,14.58,Tamil Nadu,2025-11-08
SKU000053,Nestle Home Decor Pack of 12,Nestle,Nestle Pvt Ltd,Seasonal & Festive,Home Decor,Home Decor,Nestle Home Decor product - high quality and customer favorite.,500ml,ml,961.98,804.71,High,Seasonal,3.0,476,2024-06-05,16.35,True,False,2558,91419.59,6.47,Telangana,2025-11-08
SKU000054,Zepto Hoodies 500g,Zepto,Zepto Pvt Ltd,Fashion & Merchandise,Hoodies,Hoodies,Zepto Hoodies product - high quality and customer favorite.,500ml,Pack,598.06,493.2,Medium,In Stock,4.7,2995,2023-10-22,17.53,False,False,4473,2713.18,14.37,Karnataka,2025-11-08
SKU000055,Dettol Cat Food 500ml,Dettol,Dettol Pvt Ltd,Pet Care,Cat Food,Cat Food,Dettol Cat Food product - high quality and customer favorite.,100g,ml,1216.34,975.36,Medium,In Stock,3.2,3272,2023-09-18,19.81,False,False,3224,15326.47,16.21,Gujarat,2025-11-08
SKU000056,Dove Cleaners Pack of 6,Dove,Dove Pvt Ltd,Home & Cleaning,Cleaners,Cleaners,Dove Cleaners product - high quality and customer favorite.,500ml,g,1085.39,869.08,Low,Seasonal,4.4,417,2023-05-18,19.93,False,True,3708,87857.46,4.65,Telangana,2025-11-08
SKU000057,Dettol Haircare 100g,Dettol,Dettol Pvt Ltd,Beauty & Personal Care,Haircare,Haircare,Dettol Haircare product - high quality and customer favorite.,Pack of 12,Pack,818.29,685.46,High,In Stock,3.6,4376,2023-01-27,16.23,False,False,4637,10874.72,5.89,Karnataka,2025-11-08
SKU000058,Pampers Vitamins Pack of 12,Pampers,Pampers Pvt Ltd,Medical & Wellness,Vitamins,Vitamins,Pampers Vitamins product - high quality and customer favorite.,1kg,Pack,1467.96,1202.4,High,In Stock,4.2,4850,2024-02-04,18.09,True,True,2569,16207.76,11.69,Maharashtra,2025-11-08
SKU000059,Britannia Bath 250g,Britannia,Britannia Pvt Ltd,Beauty & Personal Care,Bath,Bath,Britannia Bath product - high quality and customer favorite.,1L,ml,838.68,832.81,Low,Seasonal,4.3,33,2023-08-08,0.7,True,False,857,60860.04,10.96,Maharashtra,2025-11-08
SKU000060,Himalaya Diapers 200ml,Himalaya,Himalaya Pvt Ltd,Baby Care,Diapers,Diapers,Himalaya Diapers product - high quality and customer favorite.,100g,ml,177.93,151.33,Medium,In Stock,3.4,4651,2023-04-12,14.95,True,False,3925,39802.19,18.71,Tamil Nadu,2025-11-08
SKU000061,Amul Hygiene 500ml,Amul,Amul Pvt Ltd,Baby Care,Hygiene,Hygiene,Amul Hygiene product - high quality and customer favorite.,100g,g,541.29,513.13,Medium,In Stock,3.2,2210,2024-08-02,5.2,False,True,3071,44289.08,22.09,Maharashtra,2025-11-08
SKU000062,Coca-Cola Accessories 1L,Coca-Cola,Coca-Cola Pvt Ltd,Pet Care,Accessories,Accessories,Coca-Cola Accessories product - high quality and customer favorite.,500ml,Pack,645.68,584.9,Medium,Out of Stock,4.0,591,2024-07-17,9.41,True,False,1112,35832.83,24.95,Karnataka,2025-11-08
SKU000063,Colgate Home Decor 100g,Colgate,Colgate Pvt Ltd,Seasonal & Festive,Home Decor,Home Decor,Colgate Home Decor product - high quality and customer favorite.,Pack of 6,L,728.99,728.9,Low,Seasonal,3.7,4951,2023-10-01,0.01,False,False,3316,33197.95,7.7,Telangana,2025-11-08
SKU000064,Whiskas Storage Pack of 12,Whiskas,Whiskas Pvt Ltd,Home & Cleaning,Storage,Storage,Whiskas Storage product - high quality and customer favorite.,250g,g,1060.72,922.95,Medium,Seasonal,4.5,1276,2023-10-29,12.99,True,False,3562,72740.05,26.1,Delhi,2025-11-08
SKU000065,Pampers Food 100g,Pampers,Pampers Pvt Ltd,Baby Care,Food,Food,Pampers Food product - high quality and customer favorite.,Pack of 12,g,1034.08,981.59,High,In Stock,3.0,2654,2024-05-31,5.08,False,True,2850,34463.7,29.55,West Bengal,2025-11-08
SKU000066,Zepto Fresheners Pack of 12,Zepto,Zepto Pvt Ltd,Home & Cleaning,Fresheners,Fresheners,Zepto Fresheners product - high quality and customer favorite.,1L,L,1363.87,1152.8,Medium,Out of Stock,3.4,4785,2023-09-20,15.48,True,False,275,77813.2,29.81,Tamil Nadu,2025-11-08
SKU000067,Dettol Cleaners 1kg,Dettol,Dettol Pvt Ltd,Home & Cleaning,Cleaners,Cleaners,Dettol Cleaners product - high quality and customer favorite.,100g,g,854.13,749.24,Low,In Stock,3.8,3804,2023-06-16,12.28,False,False,2735,25961.04,14.69,Delhi,2025-11-08
SKU000068,Pampers Socks Pack of 12,Pampers,Pampers Pvt Ltd,Fashion & Merchandise,Socks,Socks,Pampers Socks product - high quality and customer favorite.,100g,g,1027.03,991.11,High,In Stock,3.5,1759,2024-01-01,3.5,False,False,542,90148.84,27.49,Gujarat,2025-11-08
SKU000069,Tata Cereals 1L,Tata,Tata Pvt Ltd,Grocery & Essentials,Cereals,Cereals,Tata Cereals product - high quality and customer favorite.,250g,ml,1344.56,1324.33,Medium,In Stock,4.5,3238,2023-12-29,1.5,True,True,1314,79452.9,26.81,Rajasthan,2025-11-08
SKU000070,Dettol Hoodies 500g,Dettol,Dettol Pvt Ltd,Fashion & Merchandise,Hoodies,Hoodies,Dettol Hoodies product - high quality and customer favorite.,100g,L,550.0,528.13,Medium,Out of Stock,3.6,280,2023-02-10,3.98,False,False,3064,14082.43,16.5,Tamil Nadu,2025-11-08
SKU000071,Godrej Hygiene 200ml,Godrej,Godrej Pvt Ltd,Baby Care,Hygiene,Hygiene,Godrej Hygiene product - high quality and customer favorite.,1L,g,310.53,262.99,High,In Stock,3.2,3208,2023-08-23,15.31,True,True,76,75553.24,27.69,Delhi,2025-11-08
SKU000072,Coca-Cola Spices 1L,Coca-Cola,Coca-Cola Pvt Ltd,Grocery & Essentials,Spices,Spices,Coca-Cola Spices product - high quality and customer favorite.,1L,Pack,1422.23,1181.17,High,In Stock,3.6,3586,2024-05-07,16.95,True,True,2998,29528.36,7.51,Delhi,2025-11-08
SKU000073,Dettol Fragrance 500ml,Dettol,Dettol Pvt Ltd,Beauty & Personal Care,Fragrance,Fragrance,Dettol Fragrance product - high quality and customer favorite.,500g,ml,1297.53,1295.33,High,In Stock,3.3,3538,2023-11-09,0.17,False,False,2516,50998.95,19.05,Maharashtra,2025-11-08
SKU000074,Britannia Food 500g,Britannia,Britannia Pvt Ltd,Baby Care,Food,Food,Britannia Food product - high quality and customer favorite.,1L,ml,503.82,442.94,High,Out of Stock,3.6,1019,2023-12-04,12.08,False,False,4988,20300.59,13.83,Maharashtra,2025-11-08
SKU000075,Zepto Dairy 500ml,Zepto,Zepto Pvt Ltd,Grocery & Essentials,Dairy,Dairy,Zepto Dairy product - high quality and customer favorite.,200ml,ml,1196.14,1009.55,Medium,Out of Stock,3.7,3172,2024-04-23,15.6,False,False,317,9871.71,15.13,Telangana,2025-11-08
SKU000076,Dettol Skincare Pack of 6,Dettol,Dettol Pvt Ltd,Beauty & Personal Care,Skincare,Skincare,Dettol Skincare product - high quality and customer favorite.,500ml,ml,263.81,230.32,Medium,Seasonal,3.1,416,2023-04-29,12.69,False,False,1617,17134.76,21.03,West Bengal,2025-11-08
SKU000077,Pampers Utensils Pack of 6,Pampers,Pampers Pvt Ltd,Home & Cleaning,Utensils,Utensils,Pampers Utensils product - high quality and customer favorite.,500g,Pack,1463.15,1416.35,Medium,Seasonal,3.2,3878,2023-10-24,3.2,True,True,3103,55240.64,8.0,Gujarat,2025-11-08
SKU000078,Surf Excel Makeup 500g,Surf Excel,Surf Excel Pvt Ltd,Beauty & Personal Care,Makeup,Makeup,Surf Excel Makeup product - high quality and customer favorite.,100g,ml,239.43,193.37,Low,Seasonal,3.8,474,2024-08-15,19.24,True,True,3144,97743.48,14.39,West Bengal,2025-11-08
SKU000079,Himalaya Cleaners 1L,Himalaya,Himalaya Pvt Ltd,Home & Cleaning,Cleaners,Cleaners,Himalaya Cleaners product - high quality and customer favorite.,500ml,L,1199.27,1170.98,High,In Stock,3.7,2727,2023-01-08,2.36,False,True,3937,85685.55,23.59,Tamil Nadu,2025-11-08
SKU000080,Colgate Diapers 100g,Colgate,Colgate Pvt Ltd,Baby Care,Diapers,Diapers,Colgate Diapers product - high quality and customer favorite.,200ml,L,754.55,628.84,Low,Seasonal,4.2,840,2023-11-25,16.66,False,False,2228,86505.45,26.84,Rajasthan,2025-11-08
SKU000081,Pepsi T-shirts 1L,Pepsi,Pepsi Pvt Ltd,Fashion & Merchandise,T-shirts,T-shirts,Pepsi T-shirts product - high quality and customer favorite.,1L,g,175.31,170.96,Medium,Seasonal,5.0,2617,2024-07-26,2.48,True,True,4626,91782.15,25.61,Karnataka,2025-11-08
SKU000082,Britannia Dairy 200ml,Britannia,Britannia Pvt Ltd,Grocery & Essentials,Dairy,Dairy,Britannia Dairy product - high quality and customer favorite.,500ml,ml,776.89,686.87,High,In Stock,3.6,2511,2023-05-29,11.59,True,True,1993,20093.79,8.03,Maharashtra,2025-11-08
SKU000083,Zepto Staples 500ml,Zepto,Zepto Pvt Ltd,Grocery & Essentials,Staples,Staples,Zepto Staples product - high quality and customer favorite.,Pack of 6,L,919.01,819.36,Low,In Stock,3.3,4272,2023-10-29,10.84,False,True,3036,32683.5,13.24,Maharashtra,2025-11-08
SKU000084,Nestle Supplements 1kg,Nestle,Nestle Pvt Ltd,Medical & Wellness,Supplements,Supplements,Nestle Supplements product - high quality and customer favorite.,200ml,L,644.16,576.6,High,Out of Stock,3.8,2444,2023-12-03,10.49,True,False,4619,61028.53,21.37,Maharashtra,2025-11-08
SKU000085,Britannia Spices 200ml,Britannia,Britannia Pvt Ltd,Grocery & Essentials,Spices,Spices,Britannia Spices product - high quality and customer favorite.,Pack of 12,Pack,339.62,305.2,Medium,Out of Stock,3.2,633,2023-12-06,10.13,False,True,1353,37336.94,29.74,Tamil Nadu,2025-11-08
SKU000086,Maggi Fresheners 1kg,Maggi,Maggi Pvt Ltd,Home & Cleaning,Fresheners,Fresheners,Maggi Fresheners product - high quality and customer favorite.,1kg,Pack,1407.82,1272.23,Medium,Out of Stock,4.8,725,2023-04-04,9.63,True,True,2351,51075.97,17.16,Maharashtra,2025-11-08
SKU000087,Himalaya Skincare 100g,Himalaya,Himalaya Pvt Ltd,Beauty & Personal Care,Skincare,Skincare,Himalaya Skincare product - high quality and customer favorite.,Pack of 6,Pack,578.67,517.64,Medium,Out of Stock,4.3,1880,2023-08-06,10.55,False,False,4632,70807.27,16.17,Maharashtra,2025-11-08
SKU000088,Pedigree T-shirts 500g,Pedigree,Pedigree Pvt Ltd,Fashion & Merchandise,T-shirts,T-shirts,Pedigree T-shirts product - high quality and customer favorite.,200ml,L,138.86,117.8,Low,Seasonal,3.9,3316,2024-04-29,15.17,False,True,3122,58525.34,5.36,Tamil Nadu,2025-11-08
SKU000089,Patanjali Haircare 500ml,Patanjali,Patanjali Pvt Ltd,Beauty & Personal Care,Haircare,Haircare,Patanjali Haircare product - high quality and customer favorite.,250g,L,41.79,38.97,Low,In Stock,3.5,3555,2023-10-12,6.75,True,True,1423,52471.22,6.82,Karnataka,2025-11-08
